,time,base,script1,script_price1,script2,script_price2,script3,script_price3,initial base quantity,final base quantity,profit,arbitrage type
172,2023-12-17 20:09:47.942815,USDT,LPTUSDT,7.67000000,LPTBNB,0.03186000,BNBUSDT,240.90000000,200.0,200.072,0.14400000000000546,BUY_SELL_SELL
748,2023-12-17 20:09:47.950640,USDT,GBPUSDT,1.23700000,BTCGBP,33665.84000000,BTCUSDT,41671.94000000,200.0,200.071,0.1419999999999959,BUY_BUY_SELL
61,2023-12-17 20:09:47.941083,USDT,ETHUSDT,2211.04000000,CYBERETH,0.00280500,CYBERUSDT,6.20600000,200.0,200.07,0.13999999999998636,BUY_BUY_SELL
707,2023-12-17 20:09:47.949977,USDT,EURUSDT,1.09280000,BNBEUR,220.30000000,BNBUSDT,240.90000000,200.0,200.07,0.13999999999998636,BUY_BUY_SELL
6,2023-12-17 20:09:47.937461,USDT,BTCUSDT,41671.94000000,COMPBTC,0.00122500,COMPUSDT,51.08000000,200.0,200.065,0.12999999999999545,BUY_BUY_SELL
217,2023-12-17 20:09:47.943692,USDT,SUIUSDT,0.60910000,SUIBNB,0.00253000,BNBUSDT,240.90000000,200.0,200.064,0.1279999999999859,BUY_SELL_SELL
265,2023-12-17 20:09:47.944385,USDT,QUICKUSDT,0.04798000,QUICKTUSD,0.04810000,TUSDUSDT,0.99810000,200.0,200.059,0.117999999999995,BUY_SELL_SELL
729,2023-12-17 20:09:47.950306,USDT,EURUSDT,1.09280000,ICPEUR,10.19900000,ICPUSDT,11.15200000,200.0,200.057,0.1139999999999759,BUY_BUY_SELL
811,2023-12-17 20:09:47.951663,USDT,ATOMUSDT,11.25300000,ATOMFDUSD,11.28100000,FDUSDUSDT,0.99810000,200.0,200.057,0.1139999999999759,BUY_SELL_SELL
157,2023-12-17 20:09:47.942614,USDT,BNBUSDT,240.90000000,XVSBNB,0.04240000,XVSUSDT,10.22000000,200.0,200.054,0.10800000000000409,BUY_BUY_SELL
827,2023-12-17 20:09:47.951896,USDT,FDUSDUSDT,0.99810000,BLURFDUSD,0.44730000,BLURUSDT,0.44670000,200.0,200.052,0.10399999999998498,BUY_BUY_SELL
258,2023-12-17 20:09:47.944276,USDT,SUIUSDT,0.60910000,SUITUSD,0.61060000,TUSDUSDT,0.99810000,200.0,200.052,0.10399999999998498,BUY_SELL_SELL
275,2023-12-17 20:09:47.944513,USDT,DOTUSDT,6.91100000,DOTTUSD,6.92800000,TUSDUSDT,0.99810000,200.0,200.051,0.10199999999997544,BUY_SELL_SELL
